array_size,program_name,num_threads,min_parallel_size,thread_stack_size,time
15,openmpMergeSort,6,1,1048576,213609.6
20,serialMergeSort,1,0,0,2418.7
20,parallelMergeSort,6,1,1048576,800142.5
20,openmpMergeSort,6,1,1048576,224835.3
30,serialMergeSort,1,0,0,3587.0
30,parallelMergeSort,6,1,1048576,749092.9
30,openmpMergeSort,6,1,1048576,884104.6
40,serialMergeSort,1,0,0,4581.5
40,parallelMergeSort,6,1,1048576,761610.1
40,openmpMergeSort,6,1,1048576,649182.8
60,serialMergeSort,1,0,0,6792.5
60,parallelMergeSort,6,1,1048576,1136324.5
60,openmpMergeSort,6,1,1048576,229539.2
80,serialMergeSort,1,0,0,8868.6
80,parallelMergeSort,6,1,1048576,824585.8
80,openmpMergeSort,6,1,1048576,277876.8
100,serialMergeSort,1,0,0,10663.0
100,parallelMergeSort,6,1,1048576,51013652.7
100,openmpMergeSort,6,1,1048576,3212417.4
150,serialMergeSort,1,0,0,16110.3
150,parallelMergeSort,6,1,1048576,952026.8
150,openmpMergeSort,6,1,1048576,246894.4
200,serialMergeSort,1,0,0,22441.0
200,parallelMergeSort,6,1,1048576,1147621.0
200,openmpMergeSort,6,1,1048576,251942.6
250,serialMergeSort,1,0,0,29245.9
250,parallelMergeSort,6,1,1048576,824586.4
250,openmpMergeSort,6,1,1048576,1558954.1
300,serialMergeSort,1,0,0,37550.8
300,parallelMergeSort,6,1,1048576,1062544.4
300,openmpMergeSort,6,1,1048576,258340.8
350,serialMergeSort,1,0,0,43729.1
350,parallelMergeSort,6,1,1048576,839468.2
350,openmpMergeSort,6,1,1048576,1995243.2
400,serialMergeSort,1,0,0,46842.0
400,parallelMergeSort,6,1,1048576,776852.5
400,openmpMergeSort,6,1,1048576,230002.4
500,serialMergeSort,1,0,0,56823.5
500,parallelMergeSort,6,1,1048576,817201.9
500,openmpMergeSort,6,1,1048576,864594.5
5,serialMergeSort,1,0,0,575.1
5,parallelMergeSort,6,1,1048576,653904.0
5,openmpMergeSort,6,1,1048576,1019212.5
10,serialMergeSort,1,0,0,1195.9
10,parallelMergeSort,6,1,1048576,995384.9
10,openmpMergeSort,6,1,1048576,1245982.0
15,serialMergeSort,1,0,0,1759.3
15,parallelMergeSort,6,1,1048576,977596.9
15,openmpMergeSort,6,1,1048576,1672141.7
20,serialMergeSort,1,0,0,2405.3
20,parallelMergeSort,6,1,1048576,13191009.5
20,openmpMergeSort,6,1,1048576,12228464.6
30,serialMergeSort,1,0,0,3573.3
30,parallelMergeSort,6,1,1048576,819548.3
30,openmpMergeSort,6,1,1048576,20916208.0
40,serialMergeSort,1,0,0,4593.7
40,parallelMergeSort,6,1,1048576,615475.1
40,openmpMergeSort,6,1,1048576,11862388.6
60,serialMergeSort,1,0,0,6873.1
60,parallelMergeSort,6,1,1048576,691932.0
60,openmpMergeSort,6,1,1048576,951750.2
80,serialMergeSort,1,0,0,8573.9
80,parallelMergeSort,6,1,1048576,638283.3
80,openmpMergeSort,6,1,1048576,689135.8
100,serialMergeSort,1,0,0,11445.9
100,parallelMergeSort,6,1,1048576,1062276.7
100,openmpMergeSort,6,1,1048576,1391684.7
150,serialMergeSort,1,0,0,16813.6
150,parallelMergeSort,6,1,1048576,17974673.5
150,openmpMergeSort,6,1,1048576,1155827.1
200,serialMergeSort,1,0,0,25790.9
200,parallelMergeSort,6,1,1048576,1050720.0
200,openmpMergeSort,6,1,1048576,1121135.8
250,serialMergeSort,1,0,0,29191.8
250,parallelMergeSort,6,1,1048576,1145779.6
250,openmpMergeSort,6,1,1048576,262638.2
300,serialMergeSort,1,0,0,81333.2
300,parallelMergeSort,6,1,1048576,797832.2
300,openmpMergeSort,6,1,1048576,997986.8
350,serialMergeSort,1,0,0,40889.4
350,parallelMergeSort,6,1,1048576,940580.3
350,openmpMergeSort,6,1,1048576,276294.8
400,serialMergeSort,1,0,0,47407.5
400,parallelMergeSort,6,1,1048576,876282.6
400,openmpMergeSort,6,1,1048576,1399145.5
500,serialMergeSort,1,0,0,59891.9
500,parallelMergeSort,6,1,1048576,861856.9
500,openmpMergeSort,6,1,1048576,1681672.6
5,serialMergeSort,1,0,0,552.7
5,parallelMergeSort,6,1,1048576,564710.0
5,openmpMergeSort,6,1,1048576,605149.5
10,serialMergeSort,1,0,0,1176.0
10,parallelMergeSort,6,1,1048576,1048428.4
10,openmpMergeSort,6,1,1048576,444014.2
